Date,Tag,Commit,ROM,Preset,CPU,MIPS,Notes,StdDev,Samples,RunMedians
2021-07-06,0.0.2_closed_beta,8d310053e,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,,no aarch64 build: x86-only compiler flags (-msse),,,
2021-07-06,0.0.2_closed_beta,8d310053e,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,,no aarch64 build: x86-only compiler flags (-msse),,,
2021-07-06,0.0.2_closed_beta,8d310053e,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,324.22,build-only patch,12.31,157,321.1|326.6|324.2
2021-07-06,0.0.2_closed_beta,8d310053e,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,206.45,build-only patch,7.91,134,204.5|206.4|211.1
2021-08-12,1.1.9_open_beta,2d359f339,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,375.06,build-only patch,9.82,180,376.4|375.1|373.9
2021-08-12,1.1.9_open_beta,2d359f339,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,,no aarch64 build: synthLib/audiobuffer.cpp rejected by GCC 11,,,
2021-08-12,1.1.9_open_beta,2d359f339,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,235.99,build-only patch,6.13,151,238.3|235.3|236.0
2021-08-12,1.1.9_open_beta,2d359f339,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,,no aarch64 build: synthLib/audiobuffer.cpp rejected by GCC 11,,,
2022-01-29,1.2.5_open_beta,92174cdd2,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,456.78,build-only patch,13.93,102,477.5|456.8|455.8
2022-01-29,1.2.5_open_beta,92174cdd2,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,277.94,build-only patch,6.79,64,276.6|277.9|284.9
2022-01-29,1.2.5_open_beta,92174cdd2,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,5.80,build-only patch,1.94,180,5.8|5.8|5.8
2022-01-29,1.2.5_open_beta,92174cdd2,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,3.79,build-only patch,6503140931.55,120,3.8|3.8|3.8
2022-03-26,1.2.15,32257cea2,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,450.64,build-only patch,9.76,99,450.7|450.6|434.7
2022-03-26,1.2.15,32257cea2,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,279.22,build-only patch,7.63,64,279.2|282.9|275.6
2022-03-26,1.2.15,32257cea2,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,5.82,build-only patch,1.95,180,5.8|5.8|5.8
2022-03-26,1.2.15,32257cea2,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,3.78,build-only patch,6498402116.27,120,3.8|3.8|3.8
2022-06-22,waldorf_ship00,728191bf1,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,598.49,build-only patch,8.12,80,594.6|602.8|598.5
2022-06-22,waldorf_ship00,728191bf1,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,,no aarch64 build: JitEmitter of this vintage has no ARM path,,,
2022-06-22,waldorf_ship00,728191bf1,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,342.61,build-only patch,5.79,67,338.6|342.6|342.8
2022-06-22,waldorf_ship00,728191bf1,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,,no aarch64 build: JitEmitter of this vintage has no ARM path,,,
2022-12-08,1.2.22_openBeta,0da4919cd,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,673.68,build-only patch,19.76,90,667.9|673.7|678.4
2022-12-08,1.2.22_openBeta,0da4919cd,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,233.76,build-only patch,5.29,90,232.7|233.8|235.1
2022-12-08,1.2.22_openBeta,0da4919cd,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,410.60,build-only patch,7.95,81,409.4|411.9|410.6
2022-12-08,1.2.22_openBeta,0da4919cd,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,161.30,build-only patch,2.67,96,163.7|160.4|161.3
2023-01-09,1.2.25,929df1d81,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,228.94,,4.41,90,228.9|231.0|226.5
